AVXL,1.76E+11
AWAY,3470000
AWRE,7.02E+10
AXAS,1.43E+11
AXDX,7.43E+11
AXGN,1.57E+11
AXPW,4.33E+09
AXPWW,0
AXSM,1.61E+11
AXTI,7.55E+10
AYA,2170000
AZPN,3540000
BABY,1560000
BAMM,4.95E+10
BANF,9.89E+11
BANFP,2.66E+10
BANR,1760000
BANX,1.11E+11
BASI,1.38E+10
BBBY,8950000
BBC,3.28E+10
BBCN,1440000
BBEP,4.34E+11
BBEPP,7.26E+10
BBGI,8.83E+10
BBLU,6.55E+10
BBOX,1.77E+11
BBP,2.80E+10
BBRG,1.58E+11
BBRY,4080000
BBSI,3.02E+11
BCBP,1.18E+11
BCDA,0
BCLI,4.90E+10
BCOM,7.78E+11
BCOR,4.14E+11
BCOV,2.04E+11
BCPC,2050000
BCRX,7.36E+11
BDBD,6.06E+11
BDCV,3.65E+10
BDE,1.51E+11
BDGE,5.55E+11
BDMS,2.40E+10
BDSI,3.08E+11
BEAT,3.38E+11
BEAV,4810000
BEBE,3.27E+10
BECN,1880000
BELFA,1.98E+11
BELFB,2.25E+11
BFIN,2.64E+11
BGCP,2310000
BGFV,2.04E+11
BHAC,5.59E+10
BHACR,0
BHACU,0
BHACW,0
BHBK,4.42E+11
BIB,7.90E+11
BICK,9.39E+09
BIDU,7.14E+07
BIIB,6.47E+07
BIND,9.08E+10
BIOC,3.59E+10
BIOD,1.84E+10
BIOL,5.47E+10
BIOS,1.27E+11
BIS,1.37E+11
BITE,0
BITI,1.72E+11
BJRI,1110000
BKCC,7.06E+11
BKEP,1.98E+11
BKEPP,1.89E+11
BKMU,3.41E+11
BKSC,7.96E+10
BLBD,2.18E+11
BLCM,5.84E+11
BLDP,2.10E+11
BLDR,1440000
BLFS,2.73E+10
BLIN          ,5.73E+09
BLKB,2860000
BLMN,2050000
BLMT,2.05E+11
BLPH,3.97E+10
BLRX,4.87E+10
BLUE,2960000
BLVD,0
BLVDU,0
BLVDW,0
BMRC,3.34E+11
BMRN,1.56E+07
BMTC,5.14E+11
BNCL,1150000
BNCN,9.81E+11
BNDX,3500000
BNFT,1150000
BNSO,7.14E+09
BNTC,3.77E+10
BNTCW,0
BOBE,9.05E+11
BOCH,9.38E+10
BOFI,1200000
BOJA,6.34E+11
BOKF,4680000
BONA,7.94E+11
BONT,2.93E+10
BOOM,1.05E+11
BOSC,4.29E+09
BOTA,7.15E+10
BOTJ,4.03E+10
BOXL,0
BPFH,9.90E+11
BPFHP,0
BPFHW,0
BPMC,5.42E+11
BPOP,2980000
BPOPM,0
BPOPN,2.49E+11
BPTH,1.35E+11
BRCD,4080000
BRCM,3.26E+07
BREW,1.61E+11
BRID,8.44E+10
BRKL,8.19E+11
BRKR,3730000
BRKS,7.65E+11
BSET,3.25E+11
BSF,3.96E+11
BSFT,1120000
BSPM,1.01E+10
BSQR,8.67E+10
BSRR,2.36E+11
BSTC,3.42E+11
BUFF,3350000
BUR,5.85E+10
BUSE,6.28E+11
BV,3.66E+11
BVA,2.65E+10
BVSN,2.93E+10
BVXV,1.28E+10
BVXVW,0
BWEN,2.64E+10
